,Anime,Genre,Description,Studio,Year,Rating
42,Bessatsu Olympia Kyklos,"['Comedy', 'Slice of Life', 'Sports']","Although primarily working as a vase painter in Ancient Greece, Demetrios is berated for his lack of resolve and ability to keep a cool head in a crisis. One day, he is suddenly struck by lightning and transported to Tokyo in 1964, the first year Japan hosted the Summer Olympics. 

More than accommodated by a family who simply excuses him as a harmless foreigner, Demetrios ends up bringing the knowledge he has gained from the modern era to his own time period whenever he returns after being zapped by lightning. As he repeatedly travels between the two eras, Demetrios learns to impress his fellow villagers and begins to stand up for himself—all just in time to become stronger and organize and participate in his own Olympics back at home.

[Written by MAL Rewrite]
",Gosay Studio,"Apr 20, 2020",
43,Yu☆Gi☆Oh!: Sevens,"['Action', 'Fantasy']","In the ever-growing world of Duel Monsters, as duelists improve their skills and rise up the ranks, duels become increasingly complex. By adhering to strict rules, in addition to using and learning proven strategies, one can develop into a strong duelist. However, as a boy who loves inventions and discovering new possibilities, elementary school student Yuuga Oudou finds the current way of dueling predictable and rigid—in other words, boring.

Thus, he aims to craft a new path in dueling with his exhilarating new invention: Rush Duels. His ambition soon catches the attention of Tatsuhisa Kamijou, a fellow elementary school student, who brings him to a mysterious place in an attempt to discover the potential of the new system. 

While Yuuga aims to implement Rush Duels as the new dueling standard and overthrow the conventions of the game, he opens the door to his ultimate goal—to make dueling exciting again.

[Written by MAL Rewrite]
",Bridge,"Apr 4, 2020",
44,Shadowverse (TV),Fantasy,"On his way to school, Hiiro Ryuugasaki hears a strange voice coming from his storage shed. As he searches the place, he discovers a smartphone with the popular digital card game ""Shadowverse"" already installed. Under the assumption that his grandfather has finally decided to buy him a smartphone after countless requests, Hiiro finds nothing amiss. 

Later that day, Hiiro receives concerning news regarding his classmate, Mimori Amamiya. She has lost as yet another victim of Takuma Kibakura, a fellow Shadowverse player who bullies his opponents by seizing their phones after he defeats them in battle. Determined to retrieve Mimori's smartphone, Hiiro enters an exciting new world, filled with intense matches and fierce Shadowverse opponents—including the formidable Lucia Yonazuki. 

[Written by MAL Rewrite]
",Zexcs,"Apr 7, 2020",
45,Healin' Good♡Precure,"['Action', 'Fantasy']","Sickly but optimistic middle school student Nodoka Hanadera has just moved to Sukoyaka City, a place famous for its healthy atmosphere. She immediately befriends two of her classmates: the gentle but athletic Chiyu Sawaizumi, whose family runs a hot spring inn, and the bubbly and fashionable daughter of a vet, Hinata Hiramitsu.

Soon after arriving, Nodoka finds an ill puppy in a forest, surrounded by three magical talking animals: Rabbirin, Penguitan, and Nyatoran. They tell her that the puppy, Princess Latte, can only be cured by defeating a nearby monster known as a ""Mega Byogen"" and purifying the land it has corrupted. Despite being powerless, Nodoka refuses to give up and let Latte suffer. 

Moved by her determination, Rabbirin forms a pact with Nodoka, allowing her to transform into a hero known as a Precure. Assuming the persona of  ""Cure Grace,"" the energized Nodoka fights off the Byogen and heals the earth, curing Latte.

As the Byogen and their leaders continue their attacks, Penguitan and Nyatoran also find their partners in Chiyu and Hinata, giving them the powers of ""Cure Fontaine"" and ""Cure Sparkle"" respectively. Now, it's up to the three Precure and their animal friends to stop the Byogen and protect the earth from their infections!

[Written by MAL Rewrite]",Toei Animation,"Feb 2, 2020",
46,Sazae-san,"['Comedy', 'Slice of Life']","The main character is a mother named Sazae-san. She lives in a house with her husband, her kids and her parents. The show is the ultimate family program and tends to follow traditional themes. Think of this show as the Japanese equivalent to ""The Partridge Family"" and you'll get a good feel for this show's atmosphere. Don't expect to see things like violence, swearing, kung-fu action or magical girls. The plots are more like ""Today, Sazae-san goes to the new mall and gets lost"". Such ""boring"" plotlines and the simplistic art are often a turn-off to non-Japanese audiences, but most Japanese find the show incredibly good. As a result, it continues to be one of the top ratings grabbers on TV and is one of the few anime that is considered ""acceptable"" by adults. 

(Source: AniDB)",Eiken,"Oct 5, 1969",
47,Chibi Maruko-chan (1995),"['Comedy', 'Slice of Life']","Momoko Sakura is an elementary school student who likes popular idol Momoe Yamaguchi and mangas. She is often called ""Chibi Maruko-chan"" due to her young age and small size. She lives together with her parents, her grandparents and her elder sister in a little town. In school, she has many friends with whom she studies and plays together everyday, including her close pal, Tama-chan; the student committee members, Maruo-kun and Migiwa-san; and the B-class trio: 'little master' Hanawa-kun, Hamaji-Bu Taro and Sekiguchi-kun. This is a fun-loving and enjoyable anime that portrays the simple things in life.

(Source: ANN)",Nippon Animation,"Jan 8, 1995",
48,Rebirth,"['Comedy', 'Slice of Life']","The series revolve around a team of 12 high school students who love to play the trading card game Rebirth For You.

(Source: ANN)",LIDENFILMS Osaka Studio,"Jan 5, 2020",
49,Zoids Wild Zero,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']","In the 21st century planet Earth was rendered inhospitable to life, and people mass-migrated to Planet Zi, the natural home of metallic life forms known as Zoids.

Many years later, Zi faces its end. Its inhabitants partake the journey to migrate back to Earth.

Attempting to regenerate the Earth to make it hospitable, the migrants come up with a ""Zi-Forming"" scheme.

However, the plan fails and Earth is left in its state of turmoil. Overrun by Zoids and blanked by unstable weather phenomena, the migrants are faced with a difficult life. The Empire and Republic settlements attempt to uncover Zoids buried within the Earth to bolster their respective armies.

The story picks up following second-generation Earth citizens: Leo Conrad and Buzz Cunningham, who have a chance encounter with a girl Sally Land as she flees the clutches of the Empire.

(Source: Zoids Wiki)",OLM,"Oct 4, 2019",
50,Cardfight!! Vanguard Gaiden: If,"['Action', 'Adventure', 'Comedy']","The series will explore an alternate universe to the main series, and will focus on Kouji Ibuki, an antagonist in the Cardfight!! Vanguard Movie: Neon Messiah, and Suiko Tatsunagi.

(Source: ANN, edited)",OLM,"May 30, 2020",
51,Bakugan: Armored Alliance,"['Action', 'Fantasy']",Second season of Bakugan: Battle Planet.,TMS Entertainment,"Apr 3, 2020",
52,Bonobono (TV 2016),"['Comedy', 'Slice of Life']","Based on the original comic BONO BONO by Mikio Igarashi that has seen over 9,000,000 total copies printed, this is the definitive animated version of the emotionally soothing character-driven series that will make you ask yourself the philosophical question, ""What are living things?"" while laughing at heartwarming gags and being entertained by the interactions of amusing forest friends Bonobono the young sea otter, Chipmunk, Fishing Cat, and more.

Enjoy the easygoing days and minor misadventures of Bonobono and his friends!

(Source: Fuji Creative)",Eiken,"Apr 2, 2016",
